ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,40642,,,,,,,,2020,12
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,143799,,,,2018,11
CARTAGENA,PRIMAX COLOMBIA S.A,GRANEL LIQUIDO,,,,,64,,,,2021,2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,23315,,,,,,,2021,3
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,74080,,,,,,,2020,11
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,1681532,,,,,,,,2019,12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,25444,17992,41,,,33984,,,2020,10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,127,,,,2018,1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,47262,,,,,,,2019,3
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,454116,,,,,,,,2021,5
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,9396,,,,,,,2020,11
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,67352,101046,306245,,,,,,2018,10
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,7447,,,,,,,2018,12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,115255,,,,,,,,2021,3
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,0,514,,,,,,,2021,5
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,5500,9732,,,,503,,,2019,8
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,13411,17414,,,,,,,2018,6
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,3485,,,,,,,2019,10
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,2287086,,,,,,,,2021,6
TURBO,PROMOTORA BANANERA S.A,GENERAL,2,,,,,,,,2019,3
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,7579,,,,,,,,2018,10
